sentence,labeler_1_knowledge,labeler_2_knowledge,labeler_1_accuracy,labeler_2_accuracy,labeler_1_duplicate,labeler_2_duplicate,labeler_1_overlap,labeler_2_overlap
"Knowledge type: functionality
1.",0,0,0,0,0,0,0,0
"Starting from API level 21, an ActionBar can be represented with a Toolbar widget.",1,1,1,1,1,1,1,1
2,0,0,0,0,0,0,0,0
A Toolbar can be designated as the ActionBar for an Activity using the `setSupportActionBar()` method.,1,1,1,1,1,1,0,0
"Knowledge type: concept
1.",0,0,0,0,0,0,0,0
"Starting from API level 21, the ActionBar can be represented by any Toolbar widget.",1,1,1,1,1,1,1,1
2,0,0,0,0,0,0,0,0
An application can assign a Toolbar as the ActionBar for an Activity.,1,1,1,1,0,0,1,1
"3. Use the method `setSupportActionBar()` to set a Toolbar as the ActionBar.
4.",1,1,1,1,1,1,0,0
"Set the attribute `windowActionBar` to `false` to disable the ActionBar.
5.",1,1,1,1,0,0,1,1
Themes like `.NoActionBar` can be used to omit the default ActionBar.,1,1,1,1,0,0,1,0
"Knowledge type: performance


Knowledge type: directive
Here is a concise list summarizing the complex knowledge snippets you provided:

1.",0,0,0,0,0,0,0,0
"Operators and functions:
   - Operators like 'printtable' are not conclusive.",1,1,0,0,0,0,0,0
"- Functions take specific arguments, with examples including transformations and time updates.",1,1,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
"Recruitment and division:
   - Addressing recruitment issues with divisions and related matters.",1,1,0,0,0,0,0,0
- Dividing responsibilities and solving problems are key components.,1,1,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
"Study and implementation:
   - Studying endemic examples and implementing solutions are important.",1,1,0,0,0,0,0,0
- Continuous learning and development are emphasized.,1,1,0,0,0,0,0,0
"4. Operations and effects:
   - Loop operations within function tables.",1,1,0,0,0,0,0,0
- Effects include levies and recruitment processes.,1,1,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
"Scene and scale:
   - Delay in scene developments may result in scale adjustments.",1,1,0,0,0,0,0,0
- Suggests recruitment can arise within a range of operations.,1,1,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
"Social aspects:
   - Social and cultural considerations like accepting diversity are noted.
   - Gender strategies and historical references are included.",1,1,0,0,0,0,0,0
"7. Financial and organizational transformation:
   - Discusses the transformation of financial and institutional structures.
   - Organizational restructuring and switching roles are part of adaptive measures.",1,1,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
"Communication and collaboration:
   - Emphasis on communication and collaboration through various platforms.",1,0,0,0,0,0,0,0
- Creating solutions by consulting and adjusting for better synergy.,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
"Environmental and lifestyle adjustments:
   - Environmental sustainability and lifestyle adaptations are noted.",1,1,0,0,0,0,0,0
- Adjustments in operations to fit societal norms and changes.,1,1,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
"Miscellaneous insights:
   - Reference to art and cultural elements such as music and storytelling.
   - Includes historical and procedural insights across various domains.",1,1,0,0,0,0,0,0
"Knowledge type: pattern
1.",0,0,0,0,0,0,0,0
"To remove the action bar in Android, use a theme with `.NoActionBar` and set the `windowActionBar` attribute to `false`.",1,1,1,1,0,0,1,1
2,0,0,0,0,0,0,0,0
"From API level 21, the action bar can be implemented using any toolbar widget in the layout.",1,1,1,1,1,1,1,1
3,0,0,0,0,0,0,0,0
A `Toolbar` can be designated as the action bar for an `Activity` using the `setSupportActionBar()` method.,1,1,1,0,1,1,0,0
"Knowledge type: environment
1.",0,0,0,0,0,0,0,0
"Beginning with API level 21, any toolbar widget in the application layout can represent the ActionBar.",1,1,1,1,1,1,1,1
2,0,0,0,0,0,0,0,0
A Toolbar can be designated as the ActionBar for an Activity using the `setSupportActionBar()` method.,1,1,1,1,1,1,0,0
3,0,0,0,0,0,0,0,0
"The `setActionBar()` method requires a framework `Toolbar`.
4.",1,1,0,0,0,0,0,0
`MaterialToolbar` extends the AndroidX `Toolbar`.,1,1,1,1,0,0,0,0
5. Use `AppCompatActivity` along with `MaterialToolbar` and the `setSupportActionBar()` method.,1,1,0,0,0,0,0,0
6. Do not use `Activity` and `setActionBar()` with `MaterialToolbar`.,1,1,1,1,0,0,0,0
7,0,0,0,0,0,0,0,0
"The `setSupportActionBar(toolbar)` method is essential for setting the toolbar as the action bar in an `AppCompatActivity`.
8.",1,1,0,0,0,0,0,0
"This setup utilizes AndroidX libraries within the Android environment.
9.",1,1,0,0,0,0,0,0
The `supportActionBar` property allows for accessing the action bar and setting properties like the `title` and enabling the home button with `setDisplayHomeAsUpEnabled()`.,1,1,1,1,0,1,0,0
Knowledge type: alternative,0,0,0,0,0,0,0,0
